colour,player,calculatedMoves,boardSize,time_allowed,move_number,game_id
Black,MonteCarlo,320,5,5,1,0e3bc481-a45b-11ec-8210-d45d642199dd
White,AlphaBeta,17,5,5,2,0e3bc481-a45b-11ec-8210-d45d642199dd
Black,MonteCarlo,320,5,5,3,0e3bc481-a45b-11ec-8210-d45d642199dd
White,AlphaBeta,22,5,5,4,0e3bc481-a45b-11ec-8210-d45d642199dd
Black,MonteCarlo,320,5,5,5,0e3bc481-a45b-11ec-8210-d45d642199dd
White,AlphaBeta,20,5,5,6,0e3bc481-a45b-11ec-8210-d45d642199dd
Black,MonteCarlo,320,5,5,7,0e3bc481-a45b-11ec-8210-d45d642199dd
White,AlphaBeta,18,5,5,8,0e3bc481-a45b-11ec-8210-d45d642199dd
Black,MonteCarlo,320,5,5,9,0e3bc481-a45b-11ec-8210-d45d642199dd
White,AlphaBeta,16,5,5,10,0e3bc481-a45b-11ec-8210-d45d642199dd
Black,MonteCarlo,320,5,5,11,0e3bc481-a45b-11ec-8210-d45d642199dd
White,AlphaBeta,13,5,5,12,0e3bc481-a45b-11ec-8210-d45d642199dd
Black,MonteCarlo,320,5,5,13,0e3bc481-a45b-11ec-8210-d45d642199dd
White,AlphaBeta,10,5,5,14,0e3bc481-a45b-11ec-8210-d45d642199dd
Black,MonteCarlo,320,5,5,15,0e3bc481-a45b-11ec-8210-d45d642199dd
White,AlphaBeta,8,5,5,16,0e3bc481-a45b-11ec-8210-d45d642199dd
Black,MonteCarlo,320,5,5,17,0e3bc481-a45b-11ec-8210-d45d642199dd
White,AlphaBeta,4,5,5,18,0e3bc481-a45b-11ec-8210-d45d642199dd
Black,MonteCarlo,320,5,5,19,0e3bc481-a45b-11ec-8210-d45d642199dd
Black,MonteCarlo,320,5,5,1,12927f26-a45c-11ec-b1f3-d45d642199dd
White,AlphaBeta,24,5,5,2,12927f26-a45c-11ec-b1f3-d45d642199dd
Black,MonteCarlo,320,5,5,3,12927f26-a45c-11ec-b1f3-d45d642199dd
White,AlphaBeta,22,5,5,4,12927f26-a45c-11ec-b1f3-d45d642199dd
Black,MonteCarlo,320,5,5,5,12927f26-a45c-11ec-b1f3-d45d642199dd
White,AlphaBeta,20,5,5,6,12927f26-a45c-11ec-b1f3-d45d642199dd
